Date_reported,Country_code,Country,WHO_region,New_cases
121852,19013,33025,0,0
121852,19013,35556,0,0
121852,19013,36599,0,0
121852,19014,37140,0,0
121852,19015,37589,0,0
121852,19015,37999,0,0
121852,19015,38434,0,0
121852,19016,38794,0,0
121852,19017,39234,1,1
121852,19017,39713,0,0
121852,19018,40024,6,6
121852,19018,40328,17,17
121852,19018,40709,67,67
121852,19020,41013,183,183
121852,19021,41349,247,247
121852,19021,41717,387,387
121852,19026,42156,422,422
121852,19030,42572,841,841
121852,19034,42894,1392,1392
121852,19041,43067,2490,2490
121852,19041,43224,3813,3813
121852,19045,43449,4577,4577
121852,19048,43774,5108,5108
0,19048,44177,4551,4551
0,19050,44671,4195,4195
0,19052,45061,2319,2319
0,19052,45326,2056,2056
0,19052,45508,1679,1679
0,19052,45793,938,938
0,19052,45899,747,747
0,19053,45975,674,674
0,19053,46027,305,305
0,19053,46027,536,536
0,19053,46113,343,343
0,19056,46147,249,249
1,19057,46147,161,161
5,19057,46227,337,337
7,19058,46275,278,278
7,19060,46366,273,273
7,19063,46449,105,105
7,19065,46535,406,406
9,19065,46588,438,438
9,19065,46664,627,627
9,19066,46824,657,657
10,19068,46824,608,608
11,19068,47219,1002,1002
11,19070,47446,1468,1468
11,19071,47606,1463,1463
11,19071,47686,1675,1675
11,19071,47751,1311,1311
11,19072,47781,1584,1584
11,19072,47781,1312,1312
11,19072,47820,861,861
11,19072,47839,780,780
11,19072,47850,495,495
11,19072,47860,611,611
12,19072,47866,428,428
12,19072,47875,312,312
12,19072,47890,157,157
12,19072,47898,112,112
13,19072,47908,110,110
13,19072,47917,133,133
13,19072,47930,138,138
13,19072,47939,118,118
13,19072,47945,191,191
15,19072,47945,382,382
21,19072,47974,484,484
35,19072,48015,633,633
58,19072,48015,1050,1050
87,19072,48015,1279,1279
116,19072,48015,1720,1720
140,19072,48015,1642,1642
152,19072,48015,2244,2244
176,19072,48015,5033,5033
191,19072,48015,8463,8463
213,19072,48015,10637,10637
232,19072,48015,12045,12045
264,19072,48015,12314,12314
283,19072,48015,10528,10528
316,19072,48015,8830,8830
356,19072,48015,7024,7024
397,19072,48015,3269,3269
445,19072,48015,3630,3630
471,19072,48015,2957,2957
502,19072,48015,1575,1575
527,19072,48015,478,478
546,19072,48015,522,522
561,19072,48015,390,390
581,19072,48015,567,567
598,19072,48015,549,549
618,19072,48015,360,360
642,19072,48015,242,242
687,19072,48015,203,203
801,19072,48015,273,273
962,19072,48015,201,201
1210,19072,48015,270,270
1441,19072,48015,187,187
1742,19072,48015,237,237
2136,19072,48015,352,352
2524,19072,48015,326,326
2887,19072,48015,241,241
3179,19072,48015,180,180
3445,19072,48015,134,134
3722,19072,48015,157,157
4042,19072,48015,210,210
4451,19072,48015,233,233
5054,0,48015,333,333
6039,0,48015,870,870
7366,0,48015,2118,2118
8775,0,48015,4046,4046
10140,0,48015,4440,4440
11296,0,48015,1778,1778
12125,0,48015,1250,1250
12680,0,48015,1167,1167
13059,0,48015,1715,1715
13331,0,48015,977,977
13484,0,48015,435,435
13611,0,48015,331,331
13743,4,0,285,285
13856,7,0,297,297
13995,7,0,261,261
14127,11,0,231,231
14305,13,0,44,44
14461,21,0,320,320
14614,30,0,431,431
14752,50,0,449,449
14884,50,0,495,495
15019,63,0,415,415
15119,83,0,541,541
15211,100,0,498,498
15299,121,0,571,571
15420,141,10,576,576
15595,159,19,231,231
15808,184,24,1024,1024
15994,225,25,1106,1106
16190,278,35,1466,1466
16331,364,43,1785,1785
16397,418,48,1604,1604
16431,472,61,1773,1773
16459,542,84,1679,1679
16481,572,88,1760,1760
16489,594,138,1435,1435
16496,619,172,1201,1201
16502,646,259,989,989
16505,689,346,927,927
16509,728,483,897,897
16511,760,687,933,933
16512,825,916,805,805
16516,896,1164,784,784
16518,996,1572,813,813
16519,1103,1879,581,581
16520,1249,2134,584,584
16521,1366,2551,568,568
16522,1445,2935,381,381
16525,1518,3335,441,441
16528,1586,3901,336,336
16537,1633,4672,257,257
16556,1655,5370,201,201
16586,1685,6246,173,173
16621,1704,7462,144,144
16654,1728,9026,323,323
16687,1740,10805,272,272
16711,1755,12335,164,164
16728,1776,13374,230,230
16747,1795,14413,165,165
16755,1817,15087,118,118
16762,1854,15536,141,141
16768,1874,16161,239,239
16769,1908,16626,331,331
16774,1994,17149,548,548
16779,2104,17608,884,884
16782,2206,18156,1100,1100
16784,2330,18765,1458,1458
16791,2463,19367,810,810
16800,2603,19782,1876,1876
16805,2744,20062,1983,1983
16808,2883,20329,1428,1428
16814,3001,20499,1050,1050
16815,3049,20782,778,778
16817,3141,21055,531,531
16818,3264,21323,433,433
16823,3396,21696,197,197
16825,3447,22031,124,124
16827,3574,22579,326,326
16828,3671,23331,179,179
16828,3721,24300,245,245
16829,3760,25492,194,194
16830,3849,26815,195,195
16830,3931,28477,242,242
16830,4117,30354,209,209
16831,4319,32149,229,229
16833,4467,34180,277,277
16834,4694,35594,216,216
16834,4778,36600,200,200
16835,4902,37604,207,207
16838,4980,38528,248,248
16842,5096,39172,309,309
16847,5131,39881,307,307
16855,5181,40707,293,293
16865,5215,41736,383,383
16870,5255,42777,353,353
16875,5276,43592,371,371
16876,5305,44533,432,432
16877,5316,45817,280,280
