Oferta academica,Aspirantes  por etapa,mujeres,hombres
Licenciatura en Cinematografia,aspirantes registrados,103,322
Licenciatura en Cinematografia,aspirantes aceptados de 1era etapa,33,149
Licenciatura en Cinematografia,aspirantes aceptados de 2nda etapa,26,86
Licenciatura en Cinematografia,aspirantes aceptados de 3era etapa,17,29
Licenciatura en Cinematografia,aspirantes aceptados generacion 2023,8,8
Curso de Guion Cinematografico,aspirantes registrados,35,57
Curso de Guion Cinematografico,aspirantes aceptados de 1era etapa,17,29
Curso de Guion Cinematografico,aspirantes aceptados de 2nda etapa,14,16
Curso de Guion Cinematografico,aspirantes aceptados generacion 2023,8,7
Curso de Produccion Cinematografica y Audiovisual,aspirantes registrados,20,32
Curso de Produccion Cinematografica y Audiovisual,aspirantes aceptados de 1era etapa,18,24
Curso de Produccion Cinematografica y Audiovisual,aspirantes aceptados de 2nda etapa,12,18
Curso de Produccion Cinematografica y Audiovisual,aspirantes aceptados generacion 2023,7,5
